dgbas_id,name
1000102-026,中正里
1000102-027,吉利里
1000102-028,大同里
1000102-029,中民里
1000102-030,平和里
1000102-031,大安里
1000102-032,仁德里
1000102-033,忠孝里
1000102-034,仁義里
1000102-035,光榮里
1000102-036,光輝里
1000102-037,福星里
1000102-038,福利里
1000102-039,清和里
1000102-040,永興里
1000102-041,中山里
1000102-042,大園里
1000102-043,國隆里
1000102-044,重陽里
1000102-045,民生里
1000102-046,重新里
1000102-047,正德里
1000102-048,正義里
1000102-049,正安里
1000102-050,自強里
1000102-051,文化里
1000102-052,中央里
1000102-053,雙園里
1000102-054,錦通里
1000102-055,錦安里
1000102-056,長安里
1000102-057,光華里
1000102-058,長生里
1000102-059,開元里
1000102-060,大德里
1000102-061,長元里
1000102-062,長江里
1000102-063,長泰里
1000102-064,長福里
1000102-065,介壽里
1000102-066,萬壽里
1000102-067,錦江里
1000102-068,龍濱里
1000102-069,龍門里
1000102-070,秀江里
1000102-071,奕壽里
1000102-072,三安里
1000102-073,福安里
1000102-074,信安里
1000102-075,安慶里
1000102-076,幸福里
1000102-077,六合里
1000102-078,六福里
1000102-079,順德里
1000102-080,承德里
1000102-081,瑞德里
1000102-082,崇德里
1000102-083,厚德里
1000102-084,維德里
1000102-085,尚德里
1000102-086,培德里
1000102-087,永德里
1000102-088,永盛里
1000102-089,永福里
1000102-090,永清里
1000102-091,永安里
1000102-092,永煇里
1000102-093,溪美里
1000102-094,福隆里
1000102-095,五常里
1000102-096,五福里
1000102-097,仁忠里
1000102-098,慈福里
1000102-099,慈生里
1000102-100,慈惠里
1000102-101,慈愛里
1000102-102,慈化里
1000102-103,慈祐里
1000102-104,五華里
1000102-105,富貴里
1000102-106,富華里
1000102-107,富福里
1000102-108,碧華里
1000102-109,五谷里
1000102-110,博愛里
1000102-111,福德里
1000102-112,永吉里
1000102-113,永發里
1000102-114,永順里
1000102-115,永豐里
1000102-116,立德里
1000102-117,福樂里
1000102-118,仁華里
1000102-119,五順里
1000103-001,中原里
1000103-002,平河里
1000103-003,信和里
