name,dgbas_id
南投縣埔里鎮大城里,1000802-008
南投縣埔里鎮大湳里,1000802-027
南投縣埔里鎮廣成里,1000802-023
南投縣埔里鎮愛蘭里,1000802-018
南投縣埔里鎮成功里,1000802-016
南投縣埔里鎮房里里,1000802-020
南投縣埔里鎮東門里,1000802-001
南投縣埔里鎮杷城里,1000802-031
南投縣埔里鎮枇杷里,1000802-010
南投縣埔里鎮桃米里,1000802-015
南投縣埔里鎮水頭里,1000802-011
南投縣埔里鎮泰安里,1000802-033
南投縣埔里鎮清新里,1000802-007
南投縣埔里鎮溪南里,1000802-014
南投縣埔里鎮牛眠里,1000802-026
南投縣埔里鎮珠格里,1000802-013
南投縣埔里鎮福興里,1000802-025
南投縣埔里鎮籃城里,1000802-009
南投縣埔里鎮薰化里,1000802-006
南投縣埔里鎮蜈蚣里,1000802-028
南投縣埔里鎮西門里,1000802-003
南投縣埔里鎮鐵山里,1000802-019
南投縣埔里鎮麒麟里,1000802-012
南投縣水里鄉,1000811
南投縣水里鄉上安村,1000811-014
南投縣水里鄉中央村,1000811-004
南投縣水里鄉北埔村,1000811-006
南投縣水里鄉南光村,1000811-019
南投縣水里鄉城中村,1000811-005
南投縣水里鄉新城村,1000811-003
南投縣水里鄉新山村,1000811-012
南投縣水里鄉新興村,1000811-011
南投縣水里鄉民和村,1000811-015
南投縣水里鄉水里村,1000811-001
南投縣水里鄉永興村,1000811-016
南投縣水里鄉永豐村,1000811-008
南投縣水里鄉玉峰村,1000811-017
南投縣水里鄉興隆村,1000811-018
